feature,tree_importance,forest_importance
func_pass,0.25048796892094927,0.1544184457984577
interaction_ms,0.272725605645264,0.1512233741176453
perf_pass,0.14316484265124227,0.13625889281385034
blur_score_full,0.17652800754519232,0.1156761218036188
func_visible_diff,0.0,0.07693251432868237
blur_score_card,0.09774411130588968,0.07486908240184714
memory_warnings,0.0,0.05391479194984385
func_state_provided,0.0,0.047009913523740676
mean_brightness,0.0,0.04004910854585952
page_feed,0.0,0.0395489273463888
is_blur,0.05934946393146239,0.035519205216417785
ocr_text_len,0.0,0.019734004509722226
edge_density,0.0,0.018446130651366546
page_counter,0.0,0.014272973254092625
page_layout,0.0,0.01159670320362476
func_has_overlap,0.0,0.009272997025246617
is_black_white,0.0,0.001256813509594858
func_is_blank,0.0,0.0
